id,created_at,text,lang,coordinates_type,coordinates_lat,coordinates_lon,place_id,place_name,place_country_code,retweet_count,favorite_count,_search_string,_search_loc_lat,_search_loc_lon,_search_loc_range,label,sentiment_classifier_score
Tue Feb 19 20:36:48 +0000 2019,1528612118,"Ya no me duele.... en Barcelona, Spain https://t.co/YhYuiOPy49",es,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,77,258,barcelona,41.3851,2.1734,3,NEG,0.125
Wed Feb 13 15:42:19 +0000 2019,921485446705803267,�Montamos una fiesta pre-gira ma�ana por la noche en Barcelona? Hoy he visitado una m�tica sala donde creo que la p� https://t.co/wN46IyCUt1,es,None,None,None,1a27537478dd8e38,None,ES,545,3395,barcelona,41.3851,2.1734,3,NEG,0.15
Tue Feb 19 22:15:47 +0000 2019,922457652881510400,"Quien hoy en d�a, viviendo en Barcelona, disculpe a lo hijos de Puta de Ciudadanos, espero que si llegan a ganar os� https://t.co/g6OEa4go4l",es,None,None,None,1a27537478dd8e38,None,ES,2,6,barcelona,41.3851,2.1734,3,NEG,0.037
Tue Feb 19 22:11:06 +0000 2019,3432836213,"Pues nada, aqu� celebrando 14 a�os de amor. Que parece que fue ayer porque la quiero con locura. en Barcelona, Spain https://t.co/p7jXbXuis8",es,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,barcelona,41.3851,2.1734,3,NEG,0.304
Tue Feb 19 20:36:48 +0000 2019,1528612118,"Ya no me duele.... en Barcelona, Spain https://t.co/YhYuiOPy49",es,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,77,258,barcelona,41.395144,2.186671,2,NEG,0.125
Tue Feb 19 22:11:06 +0000 2019,3432836213,"Pues nada, aqu� celebrando 14 a�os de amor. Que parece que fue ayer porque la quiero con locura. en Barcelona, Spain https://t.co/p7jXbXuis8",es,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,barcelona,41.395144,2.186671,2,NEG,0.304
Tue Feb 19 22:00:51 +0000 2019,236166782,"#asesinasydivinas #notelopuedesperder alaskaoficial en Barcelona, Spain https://t.co/lPZflddzTz",ca,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,barcelona,41.395144,2.186671,2,NEG,0.291
Tue Feb 19 22:00:12 +0000 2019,16208819,"World tour, here we come. In Barcelona at the moment making  my way to Milan https://t.co/ISH5inz9U2",en,None,None,None,07d9cac6dec83003,None,ES,0,1,barcelona,41.395144,2.186671,2,NEG,0.145
Tue Feb 19 21:59:48 +0000 2019,300117601,"Un d�a me ir�, me ir� de verdad - No s� si me ves del todo capaz - #music #love #bcn #travel #amazing #label #thinking� https://t.co/NSEYInFWpc",es,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,1,barcelona,41.395144,2.186671,2,NEG,0.007
Tue Feb 19 21:57:30 +0000 2019,731555394,I can�t thank you enough Bruv sam_copenhagen_ for the wonderful gifts. I truly appreciate them and may God replenis� https://t.co/6KdiPOBjo0,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,barcelona,41.395144,2.186671,2,NEG,0.128
Tue Feb 19 21:48:48 +0000 2019,187804659,#wonder es ahora una tendencia en #Barcelona -  - https://t.co/k8W7JzT9Zd https://t.co/TP95VSvgpi,es,Point,41.3879,2.16992,1a27537478dd8e38,None,ES,0,0,barcelona,41.395144,2.186671,2,NEG,0.299
