id,created_at,text,lang,coordinates_type,coordinates_lat,coordinates_lon,place_id,place_name,place_country_code,retweet_count,favorite_count,_search_string,_search_loc_lat,_search_loc_lon,_search_loc_range,label,sentiment_classifier_score
Sun Feb 17 21:34:45 +0000 2019,16200585,La demag�gia s�acaba tornant contra qui la practica ! Els mateixos ( @bcnencomu i @ahorapodemos ) q van tombar el d� https://t.co/2rZSrcVIz9,ca,None,None,None,1a27537478dd8e38,None,ES,25,45,bcn,41.3851,2.1734,3,NEG,0.037
Sat Feb 16 17:10:31 +0000 2019,12021062,No hi haur� cap normalitat mentre no es vulgui donar una resposta pol�tica a tota aquesta gent. Col.lapse de gent a� https://t.co/8gcby0nqDH,ca,None,None,None,07d9f74460485002,None,ES,20,57,bcn,41.3851,2.1734,3,NEG,0.011
Tue Feb 19 22:17:10 +0000 2019,1075036129689247751,"Quan el @raulromeva ha acabat de descriure el seu curr�culum, ja era per      aixecar-se i marxa. Todo dicho se�or�a.",ca,None,None,None,1a27537478dd8e38,None,ES,0,0,bcn,41.3851,2.1734,3,NEG,0.147
Tue Feb 19 22:00:49 +0000 2019,1024236365083549696,@bcnencomu @G_Pisarello @AdaColau @janetsanz @SindicatLloguer @PAH_BCN @ObservaDESC @AssBarrisTS @FAVBcn El problem� https://t.co/L5YyvR0p91,es,None,None,None,1a27537478dd8e38,None,ES,0,0,bcn,41.3851,2.1734,3,NEG,0.112
Tue Feb 19 21:59:48 +0000 2019,300117601,"Un d�a me ir�, me ir� de verdad - No s� si me ves del todo capaz - #music #love #bcn #travel #amazing #label #thinking� https://t.co/NSEYInFWpc",es,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,1,bcn,41.3851,2.1734,3,NEG,0.007
Tue Feb 19 21:59:48 +0000 2019,300117601,"Un d�a me ir�, me ir� de verdad - No s� si me ves del todo capaz - #music #love #bcn #travel #amazing #label #thinking� https://t.co/NSEYInFWpc",es,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,1,bcn,41.395144,2.186671,2,NEG,0.007
Tue Feb 19 21:25:15 +0000 2019,95224046,#bonanitgent #hdrphotography #gaudiarchitecture #bcnmodernista #bcn_turisme #viscalarepublica� https://t.co/BnlTTlLSYY,ca,Point,41.4035796,2.17393062,1a27537478dd8e38,None,ES,0,0,bcn,41.395144,2.186671,2,NEG,0.112
Tue Feb 19 19:26:12 +0000 2019,2427481470,Ma�ana nuevo #video sobre #succionadores en nuestro canal de #IGTV estar atentos!!! Explicaremos caracter�sticas y� https://t.co/5HyEbp6b0Y,es,None,None,None,0137f8392e4a295b,None,ES,0,0,bcn,41.395144,2.186671,2,POS,0.521
Tue Feb 19 18:21:30 +0000 2019,236078499,"Presentant el llibre #ImaginemBarcelona en @jaumecollboni diu "" la marca de Barcelona ha d'ensenyar una ciutat tole� https://t.co/1O3MMAzDqz",ca,None,None,None,07d9eeef8d083000,None,ES,1,0,bcn,41.395144,2.186671,2,NEG,0.103
Tue Feb 19 18:20:18 +0000 2019,236078499,"Sard�: orgull de ser de ""Can Fabra"" ""Pixapins"" ""Quemacus"" i en Jaume Collboni ha fet un llibre des de l'orgull de s� https://t.co/HUJNqYUhCP",ca,None,None,None,07d9eeef8d083000,None,ES,4,2,bcn,41.395144,2.186671,2,NEG,0.058
