id,created_at,text,lang,coordinates_type,coordinates_lat,coordinates_lon,place_id,place_name,place_country_code,retweet_count,favorite_count,_search_string,_search_loc_lat,_search_loc_lon,_search_loc_range,label,sentiment_classifier_score
Tue Feb 19 22:02:42 +0000 2019,57715963,"Co�o..si se robaron 1.500 millone$, tierras,f�bricas y cu�nta vaina se les atraviesa �no se van a robar las im�gene� https://t.co/41w6PPi5fR",es,None,None,None,1a27537478dd8e38,None,ES,0,0,robar,41.3851,2.1734,3,NEG,0.115
Tue Feb 19 18:21:41 +0000 2019,90189740,@UNoticias No hay luz y van a embellecer la ciudad. Es q los chavistas todo lo hacen mal. Porque hasta robar ya que no lo disimulan.,es,None,None,None,1a27537478dd8e38,None,ES,0,1,robar,41.3851,2.1734,3,NEG,0.032
Tue Feb 19 16:25:25 +0000 2019,1052641652513394689,@Javiersiitoh @elprogramadear @pablocasado_ @PPopular En ning�n sitio el PP est� acusado de robar. Si no sabes lo q� https://t.co/6Xt5Fr7mNM,es,None,None,None,1a27537478dd8e38,None,ES,0,0,robar,41.3851,2.1734,3,NEG,0.178
Tue Feb 19 15:50:04 +0000 2019,906873256765947910,"Y que ? Todos los del trifachazo lo hacen, ellos son as� de majotes.  Si te pones guantes blancos de buena calidad(� https://t.co/CkRCgSnKsr",es,None,None,None,1a27537478dd8e38,None,ES,5,6,robar,41.3851,2.1734,3,NEG,0.477
Tue Feb 19 09:19:59 +0000 2019,4588237168,@_Trepox_ aunque me odies y me intentes robar al novio me caes bien uwu,es,None,None,None,1a27537478dd8e38,None,ES,0,0,robar,41.3851,2.1734,3,NEG,0.031
Mon Feb 18 20:35:08 +0000 2019,828160566669803520,@petiua @ramoncotarelo El que dic. Desvien l'atenci� del poble per seguir encanten els mateixos I estar al Poder: R� https://t.co/vnZ3zgdBsf,ca,None,None,None,1a27537478dd8e38,None,ES,1,2,robar,41.3851,2.1734,3,NEG,0.049
Mon Feb 18 18:11:52 +0000 2019,503341540,"Muy feo!! Es robar!!, lo pagamos todos los espa�oles, deben amonestar y despedir si es necesario a esa persona https://t.co/Dstat8t1i0",es,None,None,None,1a27537478dd8e38,None,ES,0,1,robar,41.3851,2.1734,3,NEG,0.088
Tue Feb 19 22:02:42 +0000 2019,57715963,"Co�o..si se robaron 1.500 millone$, tierras,f�bricas y cu�nta vaina se les atraviesa �no se van a robar las im�gene� https://t.co/41w6PPi5fR",es,None,None,None,1a27537478dd8e38,None,ES,0,0,robar,41.3851,2.1734,3,NEG,0.115
Tue Feb 19 18:21:41 +0000 2019,90189740,@UNoticias No hay luz y van a embellecer la ciudad. Es q los chavistas todo lo hacen mal. Porque hasta robar ya que no lo disimulan.,es,None,None,None,1a27537478dd8e38,None,ES,0,1,robar,41.3851,2.1734,3,NEG,0.032
Tue Feb 19 16:25:25 +0000 2019,1052641652513394689,@Javiersiitoh @elprogramadear @pablocasado_ @PPopular En ning�n sitio el PP est� acusado de robar. Si no sabes lo q� https://t.co/6Xt5Fr7mNM,es,None,None,None,1a27537478dd8e38,None,ES,0,0,robar,41.3851,2.1734,3,NEG,0.178
Tue Feb 19 15:50:04 +0000 2019,906873256765947910,"Y que ? Todos los del trifachazo lo hacen, ellos son as� de majotes.  Si te pones guantes blancos de buena calidad(� https://t.co/CkRCgSnKsr",es,None,None,None,1a27537478dd8e38,None,ES,5,6,robar,41.3851,2.1734,3,NEG,0.477
Tue Feb 19 09:19:59 +0000 2019,4588237168,@_Trepox_ aunque me odies y me intentes robar al novio me caes bien uwu,es,None,None,None,1a27537478dd8e38,None,ES,0,0,robar,41.3851,2.1734,3,NEG,0.031
Mon Feb 18 20:35:08 +0000 2019,828160566669803520,@petiua @ramoncotarelo El que dic. Desvien l'atenci� del poble per seguir encanten els mateixos I estar al Poder: R� https://t.co/vnZ3zgdBsf,ca,None,None,None,1a27537478dd8e38,None,ES,1,2,robar,41.3851,2.1734,3,NEG,0.049
Mon Feb 18 18:11:52 +0000 2019,503341540,"Muy feo!! Es robar!!, lo pagamos todos los espa�oles, deben amonestar y despedir si es necesario a esa persona https://t.co/Dstat8t1i0",es,None,None,None,1a27537478dd8e38,None,ES,0,1,robar,41.3851,2.1734,3,NEG,0.088
