CODI_CAPA,CAPA_GENERICA,NOM_CAPA,ED50_COORD_X,ED50_COORD_Y,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD,EQUIPAMENT,DISTRICTE,BARRI,NOM_DISTRICTE,NOM_BARRI,ADRECA,TELEFON,counter_NEG,counter_POS,nor_counter_NEG,nor_counter_POS
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,426477.889,4583649.008,426385.994,4583448.062,2.11937,41.399203,FGC (L6) - REINA ELISENDA (Sortida Duquesa d'Orleans)-,5.0,23.0,SarriÃ -Sant Gervasi,SarriÃ ,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,427818.595,4583478.761,427726.688,4583277.8160000015,2.135427,41.397791,FGC (L6) - LA BONANOVA-,5.0,26.0,SarriÃ -Sant Gervasi,Sant Gervasi - Galvany,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,432051.444,4589400.176,431959.5,4589199.175,2.185391,41.451492,METRO (L11) - CASA DE L'AIGUA (C. Vila-Real)-,8.0,53.0,Nou Barris,la Trinitat Nova,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,431149.447,4590452.022,431057.511,4590251.011,2.174473,41.460889,METRO (L11) - CIUTAT MERIDIANA (C. Pedraforca)-,8.0,55.0,Nou Barris,Ciutat Meridiana,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,430579.417,4582275.812,430487.484,4582074.877,2.168588,41.3872,METRO (L1) - CATALUNYA (Rda. Universitat)-,2.0,7.0,Eixample,la Dreta de l'Eixample,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,430573.165,4582331.995,430481.232,4582131.06,2.168507,41.387706,METRO (L1) - CATALUNYA (Rambla de Catalunya)-,2.0,7.0,Eixample,la Dreta de l'Eixample,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,426446.51,4583623.13,426354.616,4583422.1839999985,2.118998,41.398967,FGC (L6) - REINA ELISENDA-,5.0,23.0,SarriÃ -Sant Gervasi,SarriÃ ,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,423477.861,4579632.949,423385.993,4579432.041,2.083994,41.36275300000001,METRO (L5) - SANT ILDEFONS-,,,,,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,428480.365,4586484.614,428388.453,4586283.641,2.142987,41.424923,"METRO (L3, L5) - VALL D'HEBRON (C. de les Basses d'Horta)-",7.0,41.0,Horta-GuinardÃ³,la Vall d'Hebron,,,0,0,0,0
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),429726.943,4582853.67,429635.018,4582652.73,2.158326,41.392331,FGC - PROVENÃ‡A (C. de ProvenÃ§a)-,2.0,8.0,Eixample,l'Antiga Esquerra de l'Eixample,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,424842.109,4579643.626,424750.228,4579442.717,2.100302,41.362977,METRO (L1) - RAMBLA JUST OLIVERAS-,,,,,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,431512.153,4583708.025,431420.21200000006,4583507.077,2.179581,41.40018,METRO (L2) - MONUMENTAL (C. de la Marina)-,2.0,5.0,Eixample,el Fort Pienc,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,429348.009,4581385.0419999985,429256.08700000006,4581184.116,2.153966,41.37907,METRO (L1) - ROCAFORT (C. de Rocafort)-,2.0,9.0,Eixample,la Nova Esquerra de l'Eixample,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,430593.937,4582508.242,430502.004,4582307.305,2.168735,41.389295,METRO (L2) - PASSEIG DE GRÃ€CIA (Pg. de GrÃ cia)-,2.0,7.0,Eixample,la Dreta de l'Eixample,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,430010.072,4587038.011,429918.146,4586837.032,2.161228,41.430042,METRO (L5) - HORTA (Pl. d'Eivissa)-,7.0,43.0,Horta-GuinardÃ³,Horta,,,0,0,0,0
K011,Transports i serveis relacionats,Tramvia,424740.122,4581144.606000002,424648.243,4580943.683,2.098896,41.376486,"TRAMVIA (T1,T2,T3) - CA N'OLIVERES-",,,,,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,427604.329,4580760.853999998,427512.423,4580559.9339999985,2.1331900000000004,41.373293,METRO (L1) - MERCAT NOU (C. d'Antoni de Capmany)-,3.0,18.0,Sants-MontjuÃ¯c,Sants,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,428637.755,4581335.899,428545.84,4581134.9739999985,2.145478,41.378565,METRO (L3) - TARRAGONA-,2.0,9.0,Eixample,la Nova Esquerra de l'Eixample,,,0,0,0,0
